variable,permutation,dropout_loss,label,Year
VarietyCRIMSON,0,16023.6853533411,Other,2016
VarietyINIAGRAPEONE,0,16023.6853533411,Other,2016
VarietySABLE,0,16023.6853533411,Other,2016
VarietyTHOMPSON,0,16023.6853533411,Other,2016
VarietyTIMCO,0,16023.6853533411,Other,2016
FieldCRIMSON..99.00,0,16023.6853533411,Other,2016
FieldCRIMSON.04,0,16023.6853533411,Other,2016
FieldINIAGRAPE.ONE.14,0,16023.6853533411,Other,2016
FieldSABLE.14,0,16023.6853533411,Other,2016
FieldTHOMPSON.00,0,16023.6853533411,Other,2016
FieldTHOMPSON.07,0,16023.6853533411,Other,2016
FieldTHOMPSON.08,0,16023.6853533411,Other,2016
FieldTHOMPSON.96,0,16023.6853533411,Other,2016
FieldTIMCO.14.CR,0,16023.6853533411,Other,2016
Year,0,16023.6853533411,Other,2016
Area_He,0,16023.6853533411,Other,2016
Kg_He,0,16023.6853533411,Other,2016
Average_Temp,0,16023.6853533411,Other,2016
Max_Temp,0,16023.6853533411,Other,2016
Min_Temp,0,16023.6853533411,Other,2016
Average_Hum,0,16023.6853533411,Other,2016
Average_Evapotranspiration,0,16023.6853533411,Other,2016
Accumulated_degree_Days,0,16023.6853533411,Other,2016
B1_mean,0,16023.6853533411,Remote Sensing,2016
B2_mean,0,16023.6853533411,Remote Sensing,2016
B3_mean,0,16023.6853533411,Remote Sensing,2016
B4_mean,0,16023.6853533411,Remote Sensing,2016
B5_mean,0,16023.6853533411,Remote Sensing,2016
B6_mean,0,16023.6853533411,Remote Sensing,2016
B7_mean,0,16023.6853533411,Remote Sensing,2016
B8_mean,0,16023.6853533411,Remote Sensing,2016
B8A_mean,0,16023.6853533411,Remote Sensing,2016
B9_mean,0,16023.6853533411,Remote Sensing,2016
B10_mean,0,16023.6853533411,Remote Sensing,2016
B11_mean,0,16023.6853533411,Remote Sensing,2016
B12_mean,0,16023.6853533411,Remote Sensing,2016
EVI,0,16023.6853533411,Remote Sensing,2016
GNDVI,0,16023.6853533411,Remote Sensing,2016
NDVI,0,16023.6853533411,Remote Sensing,2016
VarietyCRIMSON,1,16023.6853533411,Other,2016
VarietyINIAGRAPEONE,1,16023.6853533411,Other,2016
VarietySABLE,1,16023.6853533411,Other,2016
VarietyTHOMPSON,1,16023.6853533411,Other,2016
VarietyTIMCO,1,16023.6853533411,Other,2016
FieldCRIMSON..99.00,1,16023.6853533411,Other,2016
FieldCRIMSON.04,1,16023.6853533411,Other,2016
FieldINIAGRAPE.ONE.14,1,16023.6853533411,Other,2016
FieldSABLE.14,1,16023.6853533411,Other,2016
FieldTHOMPSON.00,1,16023.6853533411,Other,2016
FieldTHOMPSON.07,1,16023.6853533411,Other,2016
FieldTHOMPSON.08,1,16023.6853533411,Other,2016
FieldTHOMPSON.96,1,16023.6853533411,Other,2016
FieldTIMCO.14.CR,1,16023.6853533411,Other,2016
Year,1,16023.6853533411,Other,2016
Area_He,1,16023.6853533411,Other,2016
Kg_He,1,16023.6853533411,Other,2016
Average_Temp,1,16023.6853533411,Other,2016
Max_Temp,1,16023.6853533411,Other,2016
Min_Temp,1,16023.6853533411,Other,2016
Average_Hum,1,16023.6853533411,Other,2016
Average_Evapotranspiration,1,16023.6853533411,Other,2016
Accumulated_degree_Days,1,16023.6853533411,Other,2016
B1_mean,1,16023.6853533411,Remote Sensing,2016
B2_mean,1,16023.6853533411,Remote Sensing,2016
B3_mean,1,16023.6853533411,Remote Sensing,2016
B4_mean,1,16023.6853533411,Remote Sensing,2016
B5_mean,1,16023.6853533411,Remote Sensing,2016
B6_mean,1,16023.6853533411,Remote Sensing,2016
B7_mean,1,16023.6853533411,Remote Sensing,2016
B8_mean,1,16023.6853533411,Remote Sensing,2016
B8A_mean,1,16023.6853533411,Remote Sensing,2016
B9_mean,1,16023.6853533411,Remote Sensing,2016
B10_mean,1,16023.6853533411,Remote Sensing,2016
B11_mean,1,16023.6853533411,Remote Sensing,2016
B12_mean,1,16023.6853533411,Remote Sensing,2016
EVI,1,16023.6853533411,Remote Sensing,2016
GNDVI,1,16023.6853533411,Remote Sensing,2016
NDVI,1,16023.6853533411,Remote Sensing,2016
VarietyCRIMSON,2,16023.6853533411,Other,2016
VarietyINIAGRAPEONE,2,16023.6853533411,Other,2016
VarietySABLE,2,16023.6853533411,Other,2016
VarietyTHOMPSON,2,16023.6853533411,Other,2016
VarietyTIMCO,2,16023.6853533411,Other,2016
FieldCRIMSON..99.00,2,16023.6853533411,Other,2016
FieldCRIMSON.04,2,16023.6853533411,Other,2016
FieldINIAGRAPE.ONE.14,2,16023.6853533411,Other,2016
FieldSABLE.14,2,16023.6853533411,Other,2016
FieldTHOMPSON.00,2,16023.6853533411,Other,2016
FieldTHOMPSON.07,2,16023.6853533411,Other,2016
FieldTHOMPSON.08,2,16023.6853533411,Other,2016
FieldTHOMPSON.96,2,16023.6853533411,Other,2016
FieldTIMCO.14.CR,2,16023.6853533411,Other,2016
Year,2,16023.6853533411,Other,2016
Area_He,2,16023.6853533411,Other,2016
Kg_He,2,16023.6853533411,Other,2016
Average_Temp,2,16023.6853533411,Other,2016
Max_Temp,2,16023.6853533411,Other,2016
Min_Temp,2,16023.6853533411,Other,2016
Average_Hum,2,16023.6853533411,Other,2016
Average_Evapotranspiration,2,16023.6853533411,Other,2016
Accumulated_degree_Days,2,16023.6853533411,Other,2016
B1_mean,2,16023.6853533411,Remote Sensing,2016
B2_mean,2,16023.6853533411,Remote Sensing,2016
B3_mean,2,16023.6853533411,Remote Sensing,2016
B4_mean,2,16023.6853533411,Remote Sensing,2016
B5_mean,2,16023.6853533411,Remote Sensing,2016
B6_mean,2,16023.6853533411,Remote Sensing,2016
B7_mean,2,16023.6853533411,Remote Sensing,2016
B8_mean,2,16023.6853533411,Remote Sensing,2016
B8A_mean,2,16023.6853533411,Remote Sensing,2016
B9_mean,2,16023.6853533411,Remote Sensing,2016
B10_mean,2,16023.6853533411,Remote Sensing,2016
B11_mean,2,16023.6853533411,Remote Sensing,2016
B12_mean,2,16023.6853533411,Remote Sensing,2016
EVI,2,16023.6853533411,Remote Sensing,2016
GNDVI,2,16023.6853533411,Remote Sensing,2016
NDVI,2,16023.6853533411,Remote Sensing,2016
VarietyCRIMSON,3,16023.6853533411,Other,2016
VarietyINIAGRAPEONE,3,16023.6853533411,Other,2016
VarietySABLE,3,16023.6853533411,Other,2016
VarietyTHOMPSON,3,16023.6853533411,Other,2016
VarietyTIMCO,3,16023.6853533411,Other,2016
FieldCRIMSON..99.00,3,16023.6853533411,Other,2016
FieldCRIMSON.04,3,16023.6853533411,Other,2016
FieldINIAGRAPE.ONE.14,3,16023.6853533411,Other,2016
FieldSABLE.14,3,16023.6853533411,Other,2016
FieldTHOMPSON.00,3,16023.6853533411,Other,2016
FieldTHOMPSON.07,3,16023.6853533411,Other,2016
FieldTHOMPSON.08,3,16023.6853533411,Other,2016
