variable,permutation,dropout_loss,label,Year
VarietyTIMCO,0,5603.11061643872,Other,2016
FieldTIMCO.14.CR,0,5618.81262569118,Other,2016
FieldINIAGRAPE.ONE.15,0,5633.18244709715,Other,2016
FieldSABLE.16,0,5633.18244709715,Other,2016
Average_Temp,0,5633.18244709715,Other,2016
Max_Temp,0,5633.18244709715,Other,2016
Min_Temp,0,5633.18244709715,Other,2016
Average_Hum,0,5633.18244709715,Other,2016
Average_Evapotranspiration,0,5633.18244709715,Other,2016
Accumulated_degree_Days,0,5633.18244709715,Other,2016
FieldTHOMPSON.08,0,5654.74452033706,Other,2016
FieldTHOMPSON.00,0,5655.96997889524,Other,2016
FieldTHOMPSON.07,0,5659.77542289092,Other,2016
FieldINIAGRAPE.ONE.14,0,5664.35916832956,Other,2016
FieldTHOMPSON.96,0,5668.37189585718,Other,2016
VarietyINIAGRAPEONE,0,5715.18409868429,Other,2016
FieldSABLE.14,0,5718.70870273966,Other,2016
FieldCRIMSON..99.00,0,5783.83261856291,Other,2016
VarietySABLE,0,5796.92289522114,Other,2016
B10_mean,0,5808.74619820768,Remote Sensing,2016
Area_He,0,5862.00657161882,Other,2016
B11_mean,0,5878.38653752202,Remote Sensing,2016
FieldCRIMSON.04,0,5898.02217919299,Other,2016
B12_mean,0,5967.62746153189,Remote Sensing,2016
B5_mean,0,5967.89771081948,Remote Sensing,2016
VarietyTHOMPSON,0,6033.18421024754,Other,2016
GNDVI,0,6154.50230195595,Remote Sensing,2016
B7_mean,0,6158.84617336239,Remote Sensing,2016
B3_mean,0,6184.25539067731,Remote Sensing,2016
B1_mean,0,6194.54390468664,Remote Sensing,2016
B2_mean,0,6197.50169317287,Remote Sensing,2016
B8A_mean,0,6219.1144046313,Remote Sensing,2016
NDVI,0,6225.60423832096,Remote Sensing,2016
B6_mean,0,6231.84248753795,Remote Sensing,2016
B8_mean,0,6239.92263614639,Remote Sensing,2016
VarietyCRIMSON,0,6240.70777108623,Other,2016
EVI,0,6240.99694800164,Remote Sensing,2016
B4_mean,0,6337.61498876615,Remote Sensing,2016
B9_mean,0,6383.8226335459,Remote Sensing,2016
VarietyCRIMSON,1,6030.3733636897,Other,2016
VarietyINIAGRAPEONE,1,5792.51082728843,Other,2016
VarietySABLE,1,5783.41721706947,Other,2016
VarietyTHOMPSON,1,6055.11630564936,Other,2016
VarietyTIMCO,1,5540.20901827565,Other,2016
FieldCRIMSON..99.00,1,5890.87970595401,Other,2016
FieldCRIMSON.04,1,5633.18244709715,Other,2016
FieldINIAGRAPE.ONE.14,1,5633.18244709715,Other,2016
FieldINIAGRAPE.ONE.15,1,5633.18244709715,Other,2016
FieldSABLE.14,1,5739.51436544635,Other,2016
FieldSABLE.16,1,5633.18244709715,Other,2016
FieldTHOMPSON.00,1,5646.69017493863,Other,2016
FieldTHOMPSON.07,1,5733.8308825296,Other,2016
FieldTHOMPSON.08,1,5636.32642519831,Other,2016
FieldTHOMPSON.96,1,5703.70484663718,Other,2016
FieldTIMCO.14.CR,1,5682.78554471318,Other,2016
Area_He,1,5763.04686680893,Other,2016
Average_Temp,1,5633.18244709715,Other,2016
Max_Temp,1,5633.18244709715,Other,2016
Min_Temp,1,5633.18244709715,Other,2016
Average_Hum,1,5633.18244709715,Other,2016
Average_Evapotranspiration,1,5633.18244709715,Other,2016
Accumulated_degree_Days,1,5633.18244709715,Other,2016
B1_mean,1,6189.11547038375,Remote Sensing,2016
B2_mean,1,6349.8133071688,Remote Sensing,2016
B3_mean,1,6447.05560536607,Remote Sensing,2016
B4_mean,1,6376.98421712333,Remote Sensing,2016
B5_mean,1,5897.1049852565,Remote Sensing,2016
B6_mean,1,6229.55435832585,Remote Sensing,2016
B7_mean,1,5992.7952440745,Remote Sensing,2016
B8_mean,1,5888.73930555058,Remote Sensing,2016
B8A_mean,1,6322.54093001904,Remote Sensing,2016
B9_mean,1,6886.64106025693,Remote Sensing,2016
B10_mean,1,5760.28440756406,Remote Sensing,2016
B11_mean,1,5802.83653601999,Remote Sensing,2016
B12_mean,1,5942.29950257803,Remote Sensing,2016
EVI,1,6136.63034369851,Remote Sensing,2016
