id,Variety,Field,Year,Week,Area_He,Kg_He,Average_Temp,Max_Temp,Min_Temp,Average_Hum,Average_Evapotranspiration,Accumulated_degree_Days,B1_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B9_mean,B10_mean,B11_mean,B12_mean,EVI,GNDVI,NDVI
1,THOMPSON,THOMPSON 00,2017,44-52,9.6,37556.1240529843,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,260.821864417118,1228.68470790378,957.322164948454,962.285223367698,628.676116838488,1135.93728522337,3094.94845360825,3834.97422680412,3715.07731958763,4091.28780068729,1324.16408934708,32.5515463917526,1663.10910652921,830.857388316151,0.742982713908879,0.579211210108705,0.699569361956464
2,THOMPSON,THOMPSON 07,2017,44-52,3.4,35366.3961544306,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,260.821864417118,1243.86924939467,966.605326876513,967.433414043584,654.90799031477,1145.67312348668,2991.52542372881,3693.54721549637,3605.15738498789,3938.03389830508,1250.799031477,30.7046004842615,1654.1210653753,868.048426150121,0.711311051834005,0.564627561528804,0.677959137115871
3,THOMPSON,THOMPSON 08,2017,44-52,3.4,41151.8046534935,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,260.821864417118,1241.50469483568,978.392018779343,974.68779342723,681.018779342723,1161.26525821596,2954.33098591549,3651.20892018779,3554.83802816901,3911.13615023474,1244.9882629108,26.3450704225352,1730.46948356808,917.737089201878,0.696388471084581,0.562367223657912,0.669452285332859
4,THOMPSON,THOMPSON 96,2017,44-52,9.5,32043.0048893038,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,260.821864417118,1221.01707097934,952.400718778077,950.125786163522,626.856244384546,1120.12848158131,2988.82839173405,3692.21563342318,3592.44564240791,3947.95327942498,1259.32345013477,28.0413297394429,1655.10961365678,839.059299191375,0.720748817369087,0.571501383080958,0.690603732152341
5,CRIMSON,CRIMSON  99-00,2017,44-52,12.2,58011.7978041702,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,260.821864417118,1247.16131191432,976.692771084337,1013.94645247657,654.417670682731,1262.93775100402,3348.27576974565,4087.52074966533,3976.93507362784,4355.81124497992,1380.5562248996,31.2128514056225,1775.42637215529,877.10374832664,0.779165441033192,0.582934074532714,0.70473234662649
6,CRIMSON,CRIMSON 04,2017,44-52,2.4,57662.2708683132,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,260.821864417118,1300.11888111888,1000.48601398601,1041.98601398601,700.65034965035,1312.7027972028,3293.52447552448,3997.8951048951,3925.92657342657,4258.44405594406,1313.59090909091,30.6993006993007,1820.33566433566,955.786713286713,0.755367738800449,0.571498670882278,0.686543881997362
7,ARRA,ARRA 15 CR,2017,44-52,2.9,22310.5517241379,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,260.821864417118,1375.62666666667,1147.752,1134.59466666667,1050.384,1394.25866666667,2398.68,2777.91733333333,2683.03733333333,2966.78933333333,1042.97866666667,32.92,1939.45333333333,1343.21866666667,0.395615951816241,0.401007515668869,0.433097600062688
8,TIMCO,TIMCO 14 CR,2017,44-52,4.1,13509.8536585366,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,260.821864417118,1367.80980392157,1146.75098039216,1130.36274509804,1040.1568627451,1392.23137254902,2482.72745098039,2890.81568627451,2815.76666666667,3095.04509803922,1077.96470588235,30.856862745098,2005.42745098039,1374.14901960784,0.428071371334441,0.418688299609166,0.452339779337247
9,INIAGRAPEONE,INIAGRAPE ONE 14,2017,44-52,1.1,31768.2071031237,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,260.821864417118,1335.16417910448,1041.46268656716,1013.30597014925,806.343283582089,1227.9552238806,2719.68656716418,3337.13432835821,3235.57462686567,3588.11194029851,1102.33582089552,16.9701492537313,1821.62686567164,1080.42537313433,0.593669650269978,0.513821797362014,0.590559515490461
10,SABLE,SABLE 14,2017,44-52,4.2,21504.1134751773,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,260.821864417118,1322.06007751938,1079.05426356589,1067.94573643411,900.978682170543,1308.58914728682,2662.66666666667,3216.19573643411,3155.03294573643,3509.95736434109,1175.44379844961,32.8217054263566,2090.82364341085,1299.8488372093,0.53764719983866,0.476910398334496,0.535122517929521
11,THOMPSON,THOMPSON 00,2018,44-52,9.6,42209.0201385266,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1492.61941580756,1422.64261168385,1428.23109965636,1146.80154639175,1543.88573883162,3213.71048109966,3966.4441580756,3900.95189003436,4227.04810996564,1377.26374570447,21.6615120274914,1879.81872852234,982.731099656357,0.666665655794422,0.45079081026754,0.532492676295366
12,THOMPSON,THOMPSON 07,2018,44-52,3.4,37818.0558368301,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1301.11622276029,1051.60532687651,1047.21307506053,794.786924939467,1235.76271186441,2885.21549636804,3533.94673123487,3500.51573849879,3771.51089588378,1266.37530266344,39.0338983050847,1826.00726392252,1074.49152542373,0.633746139362418,0.525434618206925,0.617079289932228
13,THOMPSON,THOMPSON 08,2018,44-52,3.4,47094.339901664,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1253.61737089202,1001.98591549296,995.234741784038,759.678403755869,1192.75352112676,2759.00938967136,3374.5234741784,3321.17840375587,3628.30985915493,1245.12910798122,24.6431924882629,1863.96478873239,1095.48122065728,0.606489237205523,0.521572635976921,0.608700690205108
14,THOMPSON,THOMPSON 96,2018,44-52,9.5,39653.8641769946,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1259.14465408805,995.788858939802,993.195867026056,725.985624438455,1176.87780772686,2853.55795148248,3512.54627133872,3459.80862533693,3767.0269541779,1275.25696316262,27.8508535489668,1809.74663072776,1030.88769092543,0.645220320742085,0.536823338361228,0.636027534454659
15,CRIMSON,CRIMSON  99-00,2018,44-52,12.2,48920.0149331063,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1288.29049531459,1020.61311914324,1056.64658634538,744.663989290495,1313.89625167336,3236.38219544846,3930.77643908969,3870.43574297189,4204.27777777778,1399.93975903614,23.6017402945114,1953.92302543507,1057.31459170013,0.713202806820512,0.555720668520474,0.661599745353063
16,CRIMSON,CRIMSON 04,2018,44-52,2.4,45584.6351038506,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1307.75174825175,1026.54545454545,1063.18181818182,764.087412587413,1339.74475524476,3202.03146853147,3875.11888111888,3829.38461538462,4134.59090909091,1336.3951048951,25.0664335664336,1961.65734265734,1097.16083916084,0.698654596726378,0.546721038597447,0.646902447918078
17,ARRA,ARRA 15 CR,2018,44-52,2.9,45286.1428571429,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1378.936,1145.38666666667,1158.26666666667,991.245333333333,1410.64266666667,2784.54666666667,3319.352,3265.048,3561.25866666667,1245.24,28.832,2074.60266666667,1350.44,0.529576066573461,0.473114263693492,0.534750097751617
18,TIMCO,TIMCO 14 CR,2018,44-52,4.1,48340.1290910048,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1330.17058823529,1078.36666666667,1067.0862745098,897.950980392157,1307.31960784314,2806.7568627451,3410.62745098039,3375.97254901961,3670.33529411765,1257.16666666667,22.1960784313725,2038.38431372549,1272.15098039216,0.574636955237856,0.505829322922464,0.565990748738541
19,INIAGRAPEONE,INIAGRAPE ONE 14,2018,44-52,1.1,56278.9473684211,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1342.61940298507,1093.41791044776,1064.88059701493,972.126865671642,1335.15671641791,2499.87313432836,3013.20149253731,2980.90298507463,3304.02985074627,1181.9552238806,21.4626865671642,2188.29104477612,1431.01492537313,0.46962422088011,0.46029178397869,0.494514492465489
